taskType,successRate,averageTime,averageSteps,longestTime,mostSteps,leastTime,leastSteps
detection,48.48,16.48,7.39,81.08,17,2.68,3
localization,21.43,18.51,6.79,68.23,15,3.24,3
analysis,15.38,15.19,6.54,43.43,13,2.92,3
mitigation,38.46,91.58,16.23,676.33,30,8.01,6
