taskType,successRate,averageTime,averageSteps,longestTime,mostSteps,leastTime,leastSteps
detection,0.0,7.8,6.71,25.24,14,0.85,3
localization,14.29,10.96,7.86,54.98,30,2.21,3
analysis,0.0,8.42,7.69,21.31,15,2.18,3
mitigation,7.69,170.02,25.92,1728.38,30,18.91,15
