taskType,successRate,averageTime,averageSteps,longestTime,mostSteps,leastTime,leastSteps
detection,0.0,9.17,6.53,50.15,30,0.6,2
localization,14.29,18.54,11.86,52.36,30,2.81,3
analysis,23.08,8.15,5.85,13.2,10,2.62,3
mitigation,23.08,61.96,24.38,119.69,30,18.78,14
